such, 48
daily, 1
cast, 6
brazen, 1
cannon, 4
foreign, 1
mart, 1
for, 162
implements, 1
war;, 1
impress, 1
shipwrights,, 1
whose, 21
sore, 3
task, 1
Does, 3
divide, 2
Sunday, 1
week., 1
toward,, 1
sweaty, 1
haste, 8
Doth, 4
joint-labourer, 1
day?, 2
is't, 8
can, 29
inform, 2
me?, 10
At, 12
least,, 1
whisper, 2
goes, 9
so., 19
Our, 13
last, 10
king,, 7
Whose, 11
image, 3
even, 13
us,, 15
Was,, 1
as, 144
know,, 12
Fortinbras, 4
Norway,, 9
Thereto, 1
prick'd, 1
emulate, 1
pride,, 1
Dar'd, 1
combat;, 1
valiant, 2
Hamlet, 28
(For, 2
side, 1
known, 5
world, 17
esteem'd, 1
him), 1
slay, 1
Fortinbras;, 2
who,, 4
seal'd, 3
compact,, 1
Well, 4
ratified, 1
law, 3
heraldry,, 1
forfeit,, 1
life,, 12
all, 83
those, 19
lands, 4
Which, 19
stood, 3
seiz'd, 1
of,, 1
conqueror;, 1
Against, 4
moiety, 1
competent, 1
Was, 6
gaged, 1
king;, 2
return'd, 3
To, 119
inheritance, 1
been, 25
vanquisher,, 1
as,, 2
comart, 1
carriage, 1
article, 1
design'd,, 1
His, 18
fell, 6
Now,, 8
sir,, 29
young, 14
unimproved, 1
mettle, 1
hot, 5
full,, 2
Hath, 8
skirts, 1
here, 28
there,, 6
Shark'd, 1
list, 3
lawless, 2
resolutes,, 1
food, 1
diet,, 1
enterprise, 1
stomach, 1
in't;, 1
no, 88
other,, 4
doth, 24
well, 28
appear, 2
unto, 4
state,, 5
But, 115
recover, 3
strong, 3
hand, 13
terms, 3
compulsatory,, 1
foresaid, 1
father, 25
lost;, 2
this,, 18
main, 3
motive, 4
preparations,, 1
source, 2
chief, 3
head, 17
post-haste, 1
romage, 1
land., 1
other, 11
e'en, 8
sort, 3
portentous, 1
figure, 2
Comes, 1
armed, 1
through, 8
question, 10
these, 32
wars., 1
mote, 1
trouble, 2
mind's, 2
eye., 3
high, 2
palmy, 1
state, 6
Rome,, 1
little, 15
ere, 10
mightiest, 1
Julius, 2
fell,, 1
graves, 2
tenantless,, 1
sheeted, 1
squeak, 1
gibber, 1
Roman, 2
streets;, 1
stars, 2
trains, 1
fire,, 4
dews, 1
blood,, 5
Disasters, 1
sun;, 1
moist, 1
Upon, 15
influence, 1
Neptune's, 2
empire, 2
stands, 3
almost, 9
doomsday, 2
eclipse., 1
precurse, 1
fierce, 1
events,, 1
harbingers, 1
preceding, 1
still, 9
fates, 2
prologue, 2
omen, 1
coming, 5
on,, 6
earth, 14
together, 6
demonstrated, 1
Unto, 4
climature, 1
countrymen., 1
again., 8
soft!, 5
behold!, 1
Lo,, 2
I'll, 56
cross, 1
though, 17
blast, 2
me.-, 1
Stay, 1
illusion!, 1
Spreads, 1
arms., 3
hast, 14
any, 12
sound,, 2
or, 81
use, 13
voice,, 4
Speak, 6
done,, 7
ease,, 3
and,, 6
race, 1
me,, 30
privy, 1
thy, 81
country's, 1
fate,, 1
happily, 1
foreknowing, 1
avoid,, 1
Or, 33
uphoarded, 1
life, 13
Extorted, 1
treasure, 4
womb, 1
which,, 4
they, 72
say,, 11
spirits, 4
oft, 10
walk, 8
death),, 1
cock, 3
crows., 1
it!, 6
Stay,, 2
speak!-, 1
Stop, 1
Marcellus!, 1
Shall, 5
strike, 1
partisan?, 1
Do,, 1
stand., 1
here!, 2
gone!, 2
We, 35
wrong,, 2
being, 8
majestical,, 1
offer, 2
show, 19
violence;, 2
air,, 5
invulnerable,, 1
vain, 1
blows, 2
malicious, 2
mockery., 1
about, 13
speak,, 4
when, 26
crew., 1
started,, 1
guilty, 4
fearful, 1
summons., 1
heard, 10
cock,, 1
trumpet, 4
morn,, 2
lofty, 1
shrill-sounding, 1
throat, 3
Awake, 1
god, 3
day;, 1
warning,, 1
Whether, 4
sea, 4
Th', 11
extravagant, 1
erring, 1
spirit, 7
hies, 1
confine;, 1
truth, 4
herein, 3
object, 1
probation., 1
faded, 1
crowing, 1
cock., 1
Some, 2
say, 30
ever,, 1
'gainst, 3
season, 4
Wherein, 6
Saviour's, 1
birth, 1
celebrated,, 1
bird, 1
dawning, 1
singeth, 1
long;, 1
then,, 12
dare, 5
stir, 4
abroad,, 1
wholesome,, 1
planets, 1
strike,, 1
No, 18
fairy, 1
takes,, 2
nor, 21
witch, 1
power, 7
charm,, 1
hallow'd, 1
gracious, 4
time., 6
look,, 2
russet, 1
mantle, 1
clad,, 1
Walks, 1
o'er, 12
dew, 2
yon, 1
eastward, 1
hill., 1
Break, 3
up;, 3
advice, 1
Let, 43
impart, 4
to-night, 3
Hamlet;, 2
for,, 4
spirit,, 3
dumb, 4
Do, 26
consent, 1
shall, 103
acquaint, 1
needful, 1
loves,, 2
fitting, 1
duty?, 1
Let's, 5
do't,, 3
pray;, 1
morning, 4
find, 17
conveniently., 1
Exeunt., 12
II., 6
room, 12
Flourish., 3
[Enter, 4
Gertrude, 1
Queen,, 12
Laertes, 9
sister, 3
[Voltemand,, 1
Cornelius,], 1
Lords, 3
Attendant., 2
King., 116
Though, 6
yet, 26
dear, 27
brother's, 7
death, 15
memory, 7
green,, 1
befitted, 1
bear, 13
hearts, 1
grief,, 3
whole, 7
kingdom, 3
contracted, 1
one, 29
brow, 1
woe,, 2
Yet, 12
far, 10
discretion, 2
fought, 1
nature, 15
wisest, 3
sorrow, 4
remembrance, 2
ourselves., 2
sometime, 3
sister,, 4
queen,, 4
imperial, 1
jointress, 1
we,, 1
'twere, 5
defeated, 1
joy,, 2
auspicious,, 1
dropping, 1
eye,, 6
mirth, 1
funeral,, 1
dirge, 1
marriage,, 2
equal, 2
scale, 2
weighing, 1
delight, 3
dole,, 1
Taken, 1
wife;, 3
barr'd, 1
Your, 25
better, 11
wisdoms,, 1
freely, 2
affair, 2
along., 1
Now, 18
follows,, 1
Holding, 1
weak, 2
supposal, 1
worth,, 2
thinking, 4
late, 5
disjoint, 1
out, 40
frame,, 3
Colleagued, 1
dream, 4
advantage,, 1
fail'd, 1
pester, 1
message, 1
Importing, 3
surrender, 1
Lost, 1
father,, 6
bands, 1
law,, 1
brother., 4
ourself, 2
meeting., 1
business, 8
is:, 1
writ, 5
uncle, 4
Who,, 3
impotent, 1
bedrid,, 1
scarcely, 2
hears, 3
nephew's, 2
purpose,, 4
suppress, 2
further, 9
gait, 2
herein,, 1
levies,, 1
lists,, 1
full, 8
proportions, 1
Out, 4
subject;, 1
dispatch, 1
You,, 2
you,, 53
bearers, 2
greeting, 1
old, 18
Giving, 2
personal, 1
King,, 13
dilated, 1
articles, 1
allow., 1
